task,method,optimizer,parameter,parameter_value,n,native_success,raw_gtol_met
Triple,Conventional,BFGS,lambda_pressure_factor,0.03,1,0,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.1,1,0,0
Triple,Conventional,BFGS,lambda_pressure_factor,0.3,1,0,0
Triple,Conventional,BFGS,lambda_pressure_factor,1.0,1,0,0
Triple,Conventional,BFGS,lambda_pressure_factor,3.0,1,0,0
Triple,Conventional,BFGS,lambda_pressure_factor,10.0,1,0,0
Triple,Conventional,BFGS,lambda_pressure_factor,30.0,1,0,0
Triple,FE,BFGS,alpha_factor,0.01,1,1,1
Triple,FE,BFGS,alpha_factor,0.03,1,1,1
Triple,FE,BFGS,alpha_factor,0.1,1,1,1
Triple,FE,BFGS,alpha_factor,0.3,1,1,1
Triple,FE,BFGS,alpha_factor,1.0,1,0,0
Triple,FE,BFGS,alpha_factor,3.0,1,0,0
Triple,FE,BFGS,alpha_factor,10.0,1,0,0
Triple,FE,BFGS,alpha_factor,30.0,1,0,0
Triple,FE,BFGS,alpha_factor,100.0,1,0,0
Triple,GFE,BFGS,alpha_factor,0.01,1,1,1
Triple,GFE,BFGS,alpha_factor,0.03,1,0,0
Triple,GFE,BFGS,alpha_factor,0.1,1,1,1
Triple,GFE,BFGS,alpha_factor,0.3,1,1,1
Triple,GFE,BFGS,alpha_factor,1.0,1,1,1
Triple,GFE,BFGS,alpha_factor,3.0,1,1,1
Triple,GFE,BFGS,alpha_factor,10.0,1,0,0
Triple,GFE,BFGS,alpha_factor,30.0,1,1,1
Triple,GFE,BFGS,alpha_factor,100.0,1,1,1
Triple,GFE,BFGS,alpha_x_epsilon_force,"0.1,0.1",1,1,1
Triple,GFE,BFGS,alpha_x_epsilon_force,"0.1,1",1,1,1
Triple,GFE,BFGS,alpha_x_epsilon_force,"0.1,10",1,1,1
Triple,GFE,BFGS,alpha_x_epsilon_force,"1,0.1",1,1,1
Triple,GFE,BFGS,alpha_x_epsilon_force,"1,1",1,1,1
Triple,GFE,BFGS,alpha_x_epsilon_force,"1,10",1,1,1
Triple,GFE,BFGS,alpha_x_epsilon_force,"10,0.1",1,1,1
Triple,GFE,BFGS,alpha_x_epsilon_force,"10,1",1,0,0
Triple,GFE,BFGS,alpha_x_epsilon_force,"10,10",1,1,1
Triple,GFE,BFGS,axial_ratio_factor,0.1,1,1,1
Triple,GFE,BFGS,axial_ratio_factor,0.3,1,1,1
Triple,GFE,BFGS,axial_ratio_factor,0.5,1,1,1
Triple,GFE,BFGS,axial_ratio_factor,1.0,1,1,1
Triple,GFE,BFGS,axial_ratio_factor,2.0,1,1,1
Triple,GFE,BFGS,axial_ratio_factor,3.0,1,1,1
Triple,GFE,BFGS,axial_ratio_factor,10.0,1,1,1
Triple,GFE,BFGS,beta_factor,0.0,1,1,1
Triple,GFE,BFGS,beta_factor,0.01,1,1,1
Triple,GFE,BFGS,beta_factor,0.03,1,1,1
Triple,GFE,BFGS,beta_factor,0.1,1,1,1
Triple,GFE,BFGS,beta_factor,0.3,1,1,1
Triple,GFE,BFGS,beta_factor,1.0,1,1,1
Triple,GFE,BFGS,beta_factor,3.0,1,1,1
Triple,GFE,BFGS,beta_factor,10.0,1,0,0
Triple,GFE,BFGS,beta_factor,30.0,1,0,0
Triple,GFE,BFGS,epsilon_force_factor,0.0,1,0,0
Triple,GFE,BFGS,epsilon_force_factor,0.01,1,0,0
Triple,GFE,BFGS,epsilon_force_factor,0.03,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,0.1,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,0.3,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,1.0,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,3.0,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,10.0,1,1,1
Triple,GFE,BFGS,epsilon_force_factor,30.0,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.0,1,0,0
Triple,GFE,BFGS,epsilon_pressure_rel,1e-05,1,0,0
Triple,GFE,BFGS,epsilon_pressure_rel,3e-05,1,0,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.0001,1,0,0
Triple,GFE,BFGS,epsilon_pressure_rel,0.0003,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.001,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.003,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.01,1,1,1
Triple,GFE,BFGS,epsilon_pressure_rel,0.03,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,0.0,1,0,0
Triple,GFE,BFGS,epsilon_std_factor,0.01,1,0,0
Triple,GFE,BFGS,epsilon_std_factor,0.03,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,0.1,1,0,0
Triple,GFE,BFGS,epsilon_std_factor,0.3,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,1.0,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,3.0,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,10.0,1,1,1
Triple,GFE,BFGS,epsilon_std_factor,30.0,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.01,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.02,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.05,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.1,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.2,1,1,1
Triple,GFE,BFGS,first_stage_factor,0.5,1,1,1
Triple,GFE,BFGS,first_stage_iterations,1.0,1,0,0
Triple,GFE,BFGS,first_stage_iterations,50,1,1,1
Triple,GFE,BFGS,first_stage_iterations,100.0,1,1,1
Triple,GFE,BFGS,first_stage_iterations,250,1,1,1
Triple,GFE,BFGS,first_stage_iterations,1000,1,1,1
Triple,GFE,BFGS,first_stage_iterations,3000,1,1,1
Triple,GFE,BFGS,gamma_uniformity,0.0,1,1,1
Triple,GFE,BFGS,gamma_uniformity,0.03,1,1,1
Triple,GFE,BFGS,gamma_uniformity,0.1,1,1,1
Triple,GFE,BFGS,gamma_uniformity,0.3,1,1,1
Triple,GFE,BFGS,gamma_uniformity,1.0,1,1,1
Triple,GFE,BFGS,gamma_uniformity,3.0,1,0,0
Triple,GFE,BFGS,gamma_uniformity,10.0,1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"0.1,0.1",1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"0.1,1",1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"0.1,10",1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"1,0.1",1,0,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"1,1",1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"1,10",1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"10,0.1",1,0,0
Triple,GFE,BFGS,gamma_x_epsilon_std,"10,1",1,1,1
Triple,GFE,BFGS,gamma_x_epsilon_std,"10,10",1,1,1
Triple,GFE,BFGS,gtol,1e-10,1,0,0
Triple,GFE,BFGS,gtol,1e-09,1,0,0
Triple,GFE,BFGS,gtol,1e-08,1,1,1
Triple,GFE,BFGS,gtol,1e-07,1,1,1
Triple,GFE,BFGS,gtol,1e-06,1,1,1
Triple,GFE,BFGS,stencil_factor,0.25,1,0,0
Triple,GFE,BFGS,stencil_factor,0.5,1,1,1
Triple,GFE,BFGS,stencil_factor,0.75,1,1,1
Triple,GFE,BFGS,stencil_factor,1.0,1,1,1
Triple,GFE,BFGS,stencil_factor,1.5,1,1,1
Triple,GFE,BFGS,stencil_factor,2.0,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,0.1,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,0.3,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,0.5,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,1.0,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,2.0,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,3.0,1,1,1
Triple,GFE,BFGS,transverse_ratio_factor,10.0,1,1,1
