task,method,seed,phase_content_id,optimizer,evaluator_backend,actual_iterations,native_success,stationary_gtol,terminal_gradient_inf,gradient_units,recorded_endpoint_outcome,objective_initial,objective_final,gradient_norm_initial,gradient_norm_final,gradient_ratio,gradient_applicable,diagnostic_status,terminal_gradient_norm
Single,GFE,469986874.0,000000000000080fbbb60d6c10681626,L-BFGS-B,compact-single-float64-v1,44,True,True,2.1712546112284807e-09,N m^-1 rad^-1,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0010035773261795457,-0.05904367548518545,0.0009349367790736281,6.373811401898024e-09,6.817371553415029e-06,True,Initial and terminal commands evaluated with identical final-stage objective settings,6.373811401898024e-09
Single,AD,469986874.0,000000000000080f298fd8bb41ae1aae,Adam,method-native,150,,,,dimensionless rad^-1,evaluated after and excluded from the common command-timing boundary,0.8345188113787925,0.23023422976982125,,9.936434855705821e-05,,True,Initial phase-gradient unavailable; stored losses and terminal gradient reported,9.936434855705821e-05
Single,Conventional,519693606.0,000000000000080fe46f2910576905c4,BFGS,native,5420,False,False,156.91231225232008,N m^-1 rad^-1,Desired error not necessarily achieved due to precision loss.,238.3252374098299,-54.01290157131454,710.8480749459035,709.0008496444236,0.997401378203605,True,Initial and terminal commands evaluated with identical final-stage objective settings,709.0008496444236
Single,FE,519693606.0,000000000000080fe5b4b2c95db025bc,L-BFGS-B,compact-single-float64-v1,35,True,True,8.973679571237744e-09,N m^-1 rad^-1,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-0.0004403714256165243,-0.05905481833772995,0.0006188920559084402,2.3473294244891193e-08,3.7927929468146e-05,True,Initial and terminal commands evaluated with identical final-stage objective settings,2.3473294244891193e-08
Single,GFE,519693606.0,000000000000080fd0735bd3fcc41276,L-BFGS-B,compact-single-float64-v1,34,True,True,2.3289320945040706e-09,N m^-1 rad^-1,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-0.0004327800263255408,-0.05904367548519912,0.0006192054272773235,6.101249655817385e-09,9.853353002160975e-06,True,Initial and terminal commands evaluated with identical final-stage objective settings,6.101249655817385e-09
Single,AD,519693606.0,000000000000080feadd7825eef91a74,Adam,method-native,150,,,,dimensionless rad^-1,evaluated after and excluded from the common command-timing boundary,0.8660087073925116,0.23023229149158106,,2.2712972081000637e-05,,True,Initial phase-gradient unavailable; stored losses and terminal gradient reported,2.2712972081000637e-05
Single,Conventional,681979972.0,000000000000080fcb20db530bb50cd1,BFGS,native,4995,False,False,156.5808912646245,N m^-1 rad^-1,Desired error not necessarily achieved due to precision loss.,614.4992837379328,-53.87662574612979,712.1333964522097,724.0448550241415,1.0167264428704983,True,Initial and terminal commands evaluated with identical final-stage objective settings,724.0448550241415
Single,FE,681979972.0,000000000000080f144c7b4743e51dbf,L-BFGS-B,compact-single-float64-v1,38,True,True,2.4425377749636262e-09,N m^-1 rad^-1,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-0.00039165331588525686,-0.05905481833794983,0.0007429953043913002,8.726289934592481e-09,1.1744744392081326e-05,True,Initial and terminal commands evaluated with identical final-stage objective settings,8.726289934592481e-09
Single,GFE,681979972.0,000000000000080f59c6df543b031382,L-BFGS-B,compact-single-float64-v1,35,True,True,5.767289148447434e-09,N m^-1 rad^-1,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-0.0003875527383813499,-0.05904367548508651,0.0007428200319731709,8.391063328807208e-09,1.129622649852054e-05,True,Initial and terminal commands evaluated with identical final-stage objective settings,8.391063328807208e-09
Single,AD,681979972.0,000000000000080fedafa4ceace1f36b,Adam,method-native,150,,,,dimensionless rad^-1,evaluated after and excluded from the common command-timing boundary,0.8624988200578847,0.23023350511823432,,9.104659027635756e-05,,True,Initial phase-gradient unavailable; stored losses and terminal gradient reported,9.104659027635756e-05
Single,IB,,000000000000080f9e740f874ce918fc,IB,method-native,1,True,,,N/A,not applicable: prescribed IB/GS command has no scalar optimized phase objective,,,,,,False,N/A: prescribed method has no scalar optimized objective,
Single,GS,,000000000000080fc4cfe8b96a8c14df,GS,method-native,100,,,,N/A,not applicable: prescribed IB/GS command has no scalar optimized phase objective,,,,,,False,N/A: prescribed method has no scalar optimized objective,
Triple,Conventional,260869.0,000000000000080f1d873a28ad371ffc,BFGS,native,30000,False,,,N m^-1 rad^-1,cumulative-accepted-iteration-cap,1109.9611525450782,-35.44113731450367,552.6789209728801,408.0589478841359,0.7383291317965053,True,Initial and terminal commands evaluated with identical final-stage objective settings,408.0589478841359
Triple,FE,260869.0,000000000000080ffa85ea9a82131d42,BFGS,compact-multitrap-discrete-v1,3669,True,True,9.860952200319397e-09,N m^-1 rad^-1,Optimization terminated successfully.,0.05761592718005286,-0.05047948340068004,0.030546015177263658,3.793735168439169e-08,1.2419738373151085e-06,True,Initial and terminal commands evaluated with identical final-stage objective settings,3.793735168439169e-08
Triple,GFE,260869.0,000000000000080f41d566cd4e7b05fe,BFGS,compact-multitrap-discrete-v1,2482,True,True,8.046987238502506e-09,N m^-1 rad^-1,Optimization terminated successfully.,0.06034381339039506,-0.04964893226826652,0.03002510293158967,2.921422360633565e-08,9.729932874134833e-07,True,Initial and terminal commands evaluated with identical final-stage objective settings,2.921422360633565e-08
Triple,AD,260869.0,000000000000080fdabcb4c10ca415ba,Adam,method-native,150,,,,dimensionless rad^-1,evaluated after and excluded from the common command-timing boundary,0.832546338767263,0.5034826373533796,,0.00018953053216083114,,True,Initial phase-gradient unavailable; stored losses and terminal gradient reported,0.00018953053216083114
Triple,Conventional,260870.0,000000000000080f1955ff792d851588,BFGS,native,30000,False,,,N m^-1 rad^-1,cumulative-accepted-iteration-cap,1033.180377727042,-35.392153775199716,632.4148602740311,461.8015757441925,0.7302193619297461,True,Initial and terminal commands evaluated with identical final-stage objective settings,461.8015757441925
Triple,FE,260870.0,000000000000080f3975e09ebbb9086a,BFGS,compact-multitrap-discrete-v1,4775,True,True,9.231713736473129e-09,N m^-1 rad^-1,Optimization terminated successfully.,0.05522050872310359,-0.050479879294609196,0.033438931948363386,3.352026521983008e-08,1.0024322927416548e-06,True,Initial and terminal commands evaluated with identical final-stage objective settings,3.352026521983008e-08
Triple,GFE,260870.0,000000000000080f9ce305b1153f0604,BFGS,compact-multitrap-discrete-v1,3342,True,True,9.355239889426748e-09,N m^-1 rad^-1,Optimization terminated successfully.,0.056221459792175625,-0.045548300322132966,0.0331592197821677,3.04385103967114e-08,9.179501386543649e-07,True,Initial and terminal commands evaluated with identical final-stage objective settings,3.04385103967114e-08
Triple,AD,260870.0,000000000000080fea7548b5a500167e,Adam,method-native,150,,,,dimensionless rad^-1,evaluated after and excluded from the common command-timing boundary,0.8722180159640511,0.4937562591087424,,1.6202812030502672e-05,,True,Initial phase-gradient unavailable; stored losses and terminal gradient reported,1.6202812030502672e-05
Triple,Conventional,260871.0,000000000000080f99fdf2e7d5190e67,BFGS,native,26747,False,,,N m^-1 rad^-1,zero-accepted-restart-stall: Desired error not necessarily achieved due to precision loss.,1857.453257348739,-35.452326942151814,555.9938750307159,389.5643736438122,0.700663066876934,True,Initial and terminal commands evaluated with identical final-stage objective settings,389.5643736438122
Triple,FE,260871.0,000000000000080f42ff90d2b9380bed,BFGS,compact-multitrap-discrete-v1,2382,True,True,9.657981278138545e-09,N m^-1 rad^-1,Optimization terminated successfully.,0.09990664106351424,-0.05047969206715781,0.03161130902038511,3.339344757689992e-08,1.0563766136785277e-06,True,Initial and terminal commands evaluated with identical final-stage objective settings,3.339344757689992e-08
Triple,GFE,260871.0,000000000000080f29f0359371651085,BFGS,compact-multitrap-discrete-v1,2063,True,True,9.691950958539656e-09,N m^-1 rad^-1,Optimization terminated successfully.,0.10106404148284426,-0.04964863024891057,0.03136869182590622,3.5614781688798925e-08,1.1353607567206873e-06,True,Initial and terminal commands evaluated with identical final-stage objective settings,3.5614781688798925e-08
Triple,AD,260871.0,000000000000080f8e71f8aeb6cc21ef,Adam,method-native,150,,,,dimensionless rad^-1,evaluated after and excluded from the common command-timing boundary,0.8395855997856394,0.49421892329649203,,0.0008925572060425692,,True,Initial phase-gradient unavailable; stored losses and terminal gradient reported,0.0008925572060425692
Triple,Conventional,260872.0,000000000000080f4cce7462f7490e14,BFGS,native,30000,False,,,N m^-1 rad^-1,cumulative-accepted-iteration-cap,1617.6962606473899,-35.452126433679695,612.2907488916704,400.9971258012558,0.6549129258070862,True,Initial and terminal commands evaluated with identical final-stage objective settings,400.9971258012558
Triple,FE,260872.0,000000000000080fc4a41241ee0d16fd,BFGS,compact-multitrap-discrete-v1,2183,True,True,9.025221171711946e-09,N m^-1 rad^-1,Optimization terminated successfully.,0.08903732152277155,-0.05048019221039915,0.03492438863589654,3.2930946353628257e-08,9.429211974746109e-07,True,Initial and terminal commands evaluated with identical final-stage objective settings,3.2930946353628257e-08
Triple,GFE,260872.0,000000000000080f3c93eb2da86c1416,BFGS,compact-multitrap-discrete-v1,1979,True,True,7.530790011336288e-09,N m^-1 rad^-1,Optimization terminated successfully.,0.09019911118864914,-0.04964898880573283,0.034535319228755246,2.9454279423493008e-08,8.528741034184043e-07,True,Initial and terminal commands evaluated with identical final-stage objective settings,2.9454279423493008e-08
Triple,AD,260872.0,000000000000080f4cc66b8940f92b06,Adam,method-native,150,,,,dimensionless rad^-1,evaluated after and excluded from the common command-timing boundary,0.8758631450026364,0.5091622399729743,,0.00036308553328442776,,True,Initial phase-gradient unavailable; stored losses and terminal gradient reported,0.00036308553328442776
Triple,Conventional,260873.0,000000000000080fd0a8216d4de6099e,BFGS,native,30000,False,,,N m^-1 rad^-1,cumulative-accepted-iteration-cap,610.7574040205296,-35.38416347291625,588.5798923041655,432.8785061834484,0.7354626140706588,True,Initial and terminal commands evaluated with identical final-stage objective settings,432.8785061834484
Triple,FE,260873.0,000000000000080fba5dea05ab4b081c,BFGS,compact-multitrap-discrete-v1,3107,True,True,8.819416023727876e-09,N m^-1 rad^-1,Optimization terminated successfully.,0.033013821550416086,-0.05047934626361262,0.030689985455105644,5.012448368419999e-08,1.6332521159882528e-06,True,Initial and terminal commands evaluated with identical final-stage objective settings,5.012448368419999e-08
Triple,GFE,260873.0,000000000000080f6be3b674086f0551,BFGS,compact-multitrap-discrete-v1,3523,True,True,8.358797306233043e-09,N m^-1 rad^-1,Optimization terminated successfully.,0.03505534208202441,-0.04964826738727459,0.03058848472843574,3.208661386611917e-08,1.048976899345744e-06,True,Initial and terminal commands evaluated with identical final-stage objective settings,3.208661386611917e-08
Triple,AD,260873.0,000000000000080f516e78d8ae6ff1fc,Adam,method-native,150,,,,dimensionless rad^-1,evaluated after and excluded from the common command-timing boundary,0.8753844848733403,0.5089346954255581,,0.0005138859546120871,,True,Initial phase-gradient unavailable; stored losses and terminal gradient reported,0.0005138859546120871
Triple,IB,,000000000000080f94150315ffcd25f7,IB,method-native,200,False,,,N/A,not applicable: prescribed IB/GS command has no scalar optimized phase objective,,,,,,False,N/A: prescribed method has no scalar optimized objective,
Triple,GS,,000000000000080f1cec1a23196a228d,GS,method-native,100,,,,N/A,not applicable: prescribed IB/GS command has no scalar optimized phase objective,,,,,,False,N/A: prescribed method has no scalar optimized objective,
